Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.02     0.00    28494     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.00      0.02     0.00    28407     0.00     0.00  google::protobuf::internal::InternalMetadata::InternalMetadata(google::protobuf::Arena*, bool)
  0.00      0.02     0.00    28390     0.00     0.00  google::protobuf::MessageLite::MessageLite(google::protobuf::Arena*, bool)
  0.00      0.02     0.00    28384     0.00     0.00  google::protobuf::Message::Message(google::protobuf::Arena*, bool)
  0.00      0.02     0.00    28336     0.00     0.00  std::__atomic_base<int>::__atomic_base(int)
  0.00      0.02     0.00    28324     0.00     0.00  std::atomic<int>::atomic(int)
  0.00      0.02     0.00    28284     0.00     0.00  google::protobuf::internal::CachedSize::CachedSize()
  0.00      0.02     0.00    19348     0.00     0.00  __gthread_mutex_lock(pthread_mutex_t*)
  0.00      0.02     0.00    19344     0.00     0.00  std::mutex::lock()
  0.00      0.02     0.00    19338     0.00     0.00  __gthread_mutex_unlock(pthread_mutex_t*)
  0.00      0.02     0.00    19325     0.00     0.00  std::mutex::unlock()
  0.00      0.02     0.00    19146     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.02     0.00    19137     0.00     0.00  google::protobuf::internal::ArenaStringPtr::DestroyNoArena(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*)
  0.00      0.02     0.00    19136     0.00     0.00  google::protobuf::internal::TaggedPtr<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::UnsafeGet() const
  0.00      0.02     0.00    19130     0.00     0.00  google::protobuf::internal::ArenaStringPtr::IsDefault(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*) const
  0.00      0.02     0.00    19064     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.02     0.00    18968     0.00     0.00  google::protobuf::internal::WireFormatLite::MakeTag(int, google::protobuf::internal::WireFormatLite::WireType)
  0.00      0.02     0.00    18949     0.00     0.00  google::protobuf::internal::WireFormatLite::UInt32SizePlusOne(unsigned int)
  0.00      0.02     0.00    18942     0.00     0.00  google::protobuf::internal::WireFormatLite::WriteTagToArray(int, google::protobuf::internal::WireFormatLite::WireType, unsigned char*)
  0.00      0.02     0.00    18933     0.00     0.00  google::protobuf::io::CodedOutputStream::VarintSize32PlusOne(unsigned int)
  0.00      0.02     0.00    18929     0.00     0.00  google::protobuf::internal::WireFormatLite::WriteUInt32ToArray(int, unsigned int, unsigned char*)
  0.00      0.02     0.00    18926     0.00     0.00  google::protobuf::internal::WireFormatLite::WriteUInt32NoTagToArray(unsigned int, unsigned char*)
