Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.06     0.00    84719     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, RpcProvider::ServiceInfo> >::_M_addr()
  0.00      0.06     0.00    84640     0.00     0.00  google::protobuf::Bits::Log2FloorNonZero(unsigned int)
  0.00      0.06     0.00    84631     0.00     0.00  google::protobuf::internal::TaggedPtr<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::Get() const
  0.00      0.06     0.00    84616     0.00     0.00  google::protobuf::io::CodedOutputStream::VarintSize32(unsigned int)
  0.00      0.06     0.00    84603     0.00     0.00  google::protobuf::internal::WireFormatLite::LengthDelimitedSize(unsigned long)
  0.00      0.06     0.00    84587     0.00     0.00  std::atomic<int>::atomic(int)
  0.00      0.06     0.00    84585     0.00     0.00  google::protobuf::internal::ReadTag(char const*, unsigned int*, unsigned int)
  0.00      0.06     0.00    84561     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, RpcProvider::ServiceInfo> >::_M_ptr()
  0.00      0.06     0.00    84551     0.00     0.00  google::protobuf::internal::CachedSize::CachedSize()
  0.00      0.06     0.00    84475     0.00     0.00  google::protobuf::Message::Message(google::protobuf::Arena*, bool)
  0.00      0.06     0.00    84474     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, RpcProvider::ServiceInfo> >::_M_valptr()
  0.00      0.06     0.00    84461     0.00     0.00  google::protobuf::internal::ArenaStringPtr::Get[abi:cxx11]() const
